Country_Code,GDP,year
ER,NA,1978
ER,NA,1977
ER,NA,1976
ER,NA,1975
ER,NA,1974
ER,NA,1973
ER,NA,1972
ER,NA,1971
ER,NA,1970
ER,NA,1969
ER,NA,1968
ER,NA,1967
ER,NA,1966
ER,NA,1965
ER,NA,1964
ER,NA,1963
ER,NA,1962
ER,NA,1961
ER,NA,1960
ET,734.227726647201,2018
ET,706.164227383539,2017
ET,662.32729587522,2016
ET,621.845673808133,2015
ET,578.632922927814,2014
ET,539.072451759432,2013
ET,500.91935528473,2012
ET,474.159034335212,2011
ET,438.78661648794,2010
ET,401.068729929542,2009
ET,379.238310448137,2008
ET,352.360703147015,2007
ET,325.543392093065,2006
ET,302.475022727211,2005
ET,278.648105685268,2004
ET,252.806674812798,2003
ET,266.316614456911,2002
ET,270.451435406908,2001
ET,257.412698845664,2000
ET,250.235771300168,1999
ET,245.504476745904,1998
ET,262.411339258283,1997
ET,262.724718922724,1996
ET,241.526301068537,1995
ET,235.4623750444,1994
ET,236.26671542506801,1993
ET,216.292535524802,1992
ET,247.009335840842,1991
ET,277.768887497322,1990
ET,280.592968440485,1989
ET,292.637021285122,1988
ET,302.765063691614,1987
ET,275.128117611222,1986
ET,258.416525420403,1985
ET,299.134295590365,1984
ET,316.020252495738,1983
ET,300.24593712377,1982
ET,309.296010987799,1981
ET,303.847990909372,1980
ET,287.089780464543,1979
ET,294.622554732376,1978
ET,291.670235643472,1977
ET,289.454156996896,1976
ET,296.414426867228,1975
ET,300.010118382265,1974
ET,298.112378618236,1973
ET,291.268461064723,1972
ET,287.023195789028,1971
ET,276.902884011507,1970
ET,275.061434693947,1969
ET,278.861265577108,1968
ET,275.270284643403,1967
ET,271.60348215663,1966
ET,259.915857989767,1965
ET,252.419740478843,1964
ET,248.969086386249,1963
ET,244.424431692123,1962
ET,240.267722018069,1961
ET,NA,1960
GQ,6578.90039765711,2018
GQ,7259.10936454803,2017
GQ,7971.83401904573,2016
GQ,9068.91003238645,2015
GQ,10363.4872473549,2014
GQ,10731.6455729191,2013
GQ,11650.7196270884,2012
